missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,MAE,RMSE,bias,median_abs_error,RelativeSlopeError
biological_error+instrument_error,0.95,0.0,500,2533,0.1682021095992741,0.19716825594523354,0.004267461308386395,0.1478342912428735,1.0210055689628381
biological_error+instrument_error,0.95,0.0,1000,2533,0.1651239259483654,0.1904595411079809,0.0033392927293892124,0.1473358883255556,0.9976095849606523
biological_error+instrument_error,0.95,0.0,5000,2533,0.16292977963109526,0.18599922697737187,0.0025989988622283485,0.1446244105576476,0.9754710724425086
biological_error+instrument_error,0.95,0.0,10000,2533,0.162784251746165,0.18547086312974254,0.0025087786363670495,0.1445269470447735,0.9758960275437363
biological_error+instrument_error,0.95,0.0,50000,2533,0.16269956073682865,0.1850801112229201,0.002167331231185546,0.1439879977640458,0.9745000366792312
biological_error+instrument_error,0.95,0.2,100,2533,0.23543509989617764,0.3711633402585546,0.009340096394950216,0.18920201283162932,1.1642768170928721
biological_error+instrument_error,0.95,0.2,500,2533,0.20538501516549554,0.23639638647124825,0.010201793984711988,0.1817367529212432,0.9978539185287835
biological_error+instrument_error,0.95,0.2,1000,2533,0.2029583292220784,0.2312137154625942,0.008940812538770439,0.1825758005663071,0.9801750956975789
biological_error+instrument_error,0.95,0.2,5000,2533,0.20202513402476444,0.228021823715507,0.00813784998377466,0.179112154374468,0.9749333652856662
biological_error+instrument_error,0.95,0.2,10000,2533,0.2019975515397816,0.22770078212896552,0.008012775636121273,0.1787922946188619,0.9745960504680046
biological_error+instrument_error,0.95,0.2,50000,2533,0.20207503104007085,0.2275924811059342,0.00774546210650657,0.1791677211294815,0.9748285085664429
biological_error+instrument_error,0.95,0.2,100000,2533,0.20209067887164756,0.2275991452640852,0.007715299199159123,0.1788173776144139,0.9749618322309457
biological_error+instrument_error,0.95,0.4,100,2533,0.221764184893146,0.3873337400177454,0.00750521136775667,0.1767233710798764,1.2079004924304129
biological_error+instrument_error,0.95,0.4,500,2533,0.1907429445093201,0.220548630063496,0.008026686526094706,0.1685679163790233,1.0162784362163766
biological_error+instrument_error,0.95,0.4,1000,2533,0.18832758932201688,0.21463499153162993,0.00694148698743634,0.1684536551255771,0.9921167441563479
biological_error+instrument_error,0.95,0.4,5000,2533,0.1862777491093191,0.21083899370933837,0.007102888895953328,0.1669034976906245,0.974800652305945
biological_error+instrument_error,0.95,0.4,10000,2533,0.18607222421629827,0.21018839197967126,0.007042410811543912,0.1661823790941434,0.9747661102162389
biological_error+instrument_error,0.95,0.4,50000,2533,0.18605695330681069,0.20995609319945494,0.006604832342643844,0.1654266250246954,0.9749137810035331
biological_error+instrument_error,0.95,0.4,100000,2533,0.18611779995939418,0.20997843630827615,0.006594461516138421,0.1655633808304727,0.9753928269303487
biological_error+instrument_error,0.95,0.6,100,2533,0.2737748582330328,0.3583839121167606,0.0120001554465255,0.22807542695475508,1.1130035936012763
biological_error+instrument_error,0.95,0.6,500,2533,0.2505629142613636,0.28907287781078517,0.00803084833456581,0.21968940503745668,1.0062430414888524
biological_error+instrument_error,0.95,0.6,1000,2533,0.247828028979639,0.282428639785816,0.007514329095274063,0.21790992937107528,0.9904737713588543
biological_error+instrument_error,0.95,0.6,5000,2533,0.24612222530132505,0.27868293059631893,0.005693590337432282,0.217205450042341,0.9768930156862381
biological_error+instrument_error,0.95,0.6,10000,2533,0.24595605991164315,0.2781492597692347,0.005568577513907923,0.2173630776439655,0.9753602840300486
biological_error+instrument_error,0.95,0.6,50000,2533,0.24551352496034592,0.27738240478246745,0.0056596670164017465,0.21613902483388142,0.9742113553236905
biological_error+instrument_error,0.95,0.6,100000,2533,0.24559742343302576,0.2774420668020952,0.005698969791090907,0.21613544984768862,0.9745381275215352
biological_error+instrument_error,0.99,0.0,100,2533,0.18216514188315047,0.3302602807117724,-0.012141749372256816,0.1492013653694172,1.1024820174102954
biological_error+instrument_error,0.99,0.0,500,2533,0.17080695422703038,0.20183872813189702,0.0012015289964264703,0.14839450791804099,1.029127627485161
biological_error+instrument_error,0.99,0.0,1000,2533,0.16777032818036322,0.19257945373698698,0.0022832754514396877,0.14737643687826338,1.0077747830932542
biological_error+instrument_error,0.99,0.0,5000,2533,0.16622225975924887,0.1899373051258582,0.0018514745486016625,0.1472023782940133,0.9944651297610757
biological_error+instrument_error,0.99,0.0,10000,7599,0.16609465869698534,0.1893142350283243,0.0016540886221177399,0.1471480558921127,0.9940556150818625
biological_error+instrument_error,0.99,0.0,50000,2533,0.16613553749980794,0.18902187427326309,0.0013851351363380036,0.1463087460133652,0.994440951726006
biological_error+instrument_error,0.99,0.2,100,2533,0.21373547030545864,0.2655346655364637,0.005300053923443441,0.1840993653260664,1.0340339891177646
biological_error+instrument_error,0.99,0.2,500,2533,0.2116301634523467,0.2492024811012396,0.005906338232091784,0.1836636249939686,1.0258040970612936
biological_error+instrument_error,0.99,0.2,1000,2533,0.2074946683056509,0.23493592794428278,0.006771916458038813,0.18297587035873272,1.0039473368132512
biological_error+instrument_error,0.99,0.2,5000,2533,0.20619190476823565,0.2330139956738721,0.006612225908801409,0.1833063780494951,0.9940535648127433
biological_error+instrument_error,0.99,0.2,10000,2533,0.20623002275949873,0.23266325849407118,0.006521335548841327,0.18209180043825052,0.9941506344485158
biological_error+instrument_error,0.99,0.2,50000,2533,0.20633212504701373,0.2325033132354503,0.006595979797524812,0.1814508112031055,0.9946061968412067
