missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,residual_mean,residual_median,residual_std
instrument_error,0.8,0.2,500,2533,4.590629698765973,3.833638043082856,3.4230862089444507
instrument_error,0.8,0.2,1000,2533,4.3059751891563085,3.519832242866924,3.3629218601518844
instrument_error,0.8,0.2,5000,2533,4.180209528220591,3.243892774942262,3.528540739768166
instrument_error,0.8,0.2,10000,243,4.438179649088584,3.709189814608045,3.48037910121982
instrument_error,0.8,0.2,50000,2533,7.779372612459098,5.940821524417052,6.624211081076971
instrument_error,0.8,0.2,100000,2533,6.980057830548683,5.096403889571704,6.5275531206264565
instrument_error,0.8,0.4,100,2533,4.123812268863133,3.370064984083235,3.298415314148545
instrument_error,0.8,0.4,500,2533,4.009491074413353,3.1361152993962516,3.128476377521694
instrument_error,0.8,0.4,1000,2533,4.170127689671912,3.3469126653335803,3.156263531289234
instrument_error,0.8,0.4,5000,2533,3.670890302224215,2.7721258089202827,3.1060747800269626
instrument_error,0.8,0.4,10000,251,4.298097020501277,3.4347492941370192,3.3535510889061215
instrument_error,0.8,0.4,50000,2533,7.654857715275121,6.183378939269705,6.223684931058436
instrument_error,0.8,0.4,100000,2533,7.1698172488723895,5.5316862341789665,5.931718137513479
instrument_error,0.9,0.0,100,2533,4.550222355538156,3.656614019294168,3.5442471289263584
instrument_error,0.9,0.0,500,2533,4.310462456082991,3.4259936989284987,3.6123031819943408
instrument_error,0.9,0.0,1000,2533,4.501909430691948,3.6529722796534703,3.415946628607168
instrument_error,0.9,0.0,5000,2533,4.110261393536036,3.299079801578222,3.3451771532100296
instrument_error,0.9,0.0,10000,388,4.463481214037317,3.370122578749634,3.5200963167773076
instrument_error,0.9,0.0,50000,2533,7.635951935127819,5.668756540819803,6.622889004504372
instrument_error,0.9,0.0,100000,2533,8.255530219936752,6.446627284125157,6.709135526617105
instrument_error,0.9,0.2,100,2533,4.680554258902529,3.811314408816993,3.583239629362844
instrument_error,0.9,0.2,500,2533,4.635018077098629,3.8705557628975535,3.4586333955554
instrument_error,0.9,0.2,1000,2533,4.34848354243987,3.5668407986899378,3.4006190615615632
instrument_error,0.9,0.2,5000,2533,4.22152782427178,3.270833785489884,3.567250862037145
instrument_error,0.9,0.2,10000,242,4.456971322198357,3.7090703827618032,3.502815574068861
instrument_error,0.9,0.2,50000,2533,7.851040707427057,5.9977775840480785,6.688902058354224
instrument_error,0.9,0.2,100000,2533,7.043899917371781,5.141269327744831,6.592233493006463
